,age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,time
0,0.037,0.01,0.07,0.149,0.064,0.003,0.018,0.021,0.015,
1,0.037267285,0.010268154,0.079167325,0.149566278,0.06526684,0.001480775,0.018786127,0.021551019,0.015241931,0.08
2,0.037300236,0.010183906,0.07929162,0.149644597,0.065380535,0.000146845,0.018743346,0.021602554,0.015202547,0.1
3,0.037209036,0.010216373,0.079353011,0.149638764,0.065479405,0.001465892,0.018817423,0.021500068,0.01514025,0.1
4,0.037496925,0.010173661,0.079599323,0.149427517,0.06565669,0.001604113,0.01865233,0.021561753,0.01519148,0.09
5,0.037305302,0.010257626,0.079401142,0.149647398,0.065240305,0.000919055,0.018793981,0.021629887,0.015214397,0.14
6,0.037331065,0.010224743,0.079296134,0.14960945,0.065480766,0.001083768,0.018866635,0.021443028,0.015161227,0.09
7,0.037432294,0.010164521,0.079289251,0.149802491,0.065465936,0.001124589,0.018769393,0.021649398,0.015169127,0.11
8,0.037336153,0.010275313,0.079654352,0.149516537,0.06515091,0.002379833,0.018876161,0.02154909,0.015228763,0.11
9,0.03730074,0.010209275,0.079178863,0.149536338,0.065332557,0.000649383,0.018708842,0.021629316,0.015217647,0.12
10,0.037359455,0.010231093,0.079551981,0.149004593,0.065450297,0.00242825,0.018748869,0.021765385,0.015222886,0.13
11,0.037464944,0.010182506,0.079091328,0.149765392,0.065576307,0.000650125,0.018726944,0.0216628,0.015220255,0.13
12,0.037246504,0.010184337,0.079334954,0.149509635,0.065009301,0.002235075,0.018693938,0.021582662,0.015068362,0.09
13,0.037353048,0.010105144,0.079114248,0.149815334,0.065592791,0.003045032,0.018632358,0.021668606,0.015318185,0.14
14,0.037244937,0.010194699,0.079462932,0.149275216,0.065393936,0.001171421,0.018749066,0.021528112,0.015242405,0.13
15,0.037281011,0.010206216,0.07933233,0.149717617,0.065406057,0.000288651,0.018766554,0.021593957,0.015107522,0.13
16,0.037279308,0.010216824,0.079183007,0.149522749,0.065555179,0.000554943,0.018734712,0.021643172,0.015193165,0.06
17,0.037181864,0.010174999,0.079399685,0.149523218,0.065356629,0.001693698,0.018788888,0.021504062,0.015224361,0.11
18,0.037280459,0.010139762,0.079403449,0.149685221,0.065256845,0.001022977,0.01881715,0.021687514,0.015244291,0.08
19,0.037499602,0.010194318,0.079339467,0.14992544,0.065179666,0.000871163,0.018805228,0.021690152,0.015212177,0.13
20,0.037438996,0.010237535,0.079444407,0.149926423,0.065393927,0.001557619,0.018786779,0.02167872,0.01525009,0.09
21,0.037421323,0.010202322,0.079311073,0.14945015,0.065334033,0.001019619,0.018720273,0.02171857,0.015221589,0.1
22,0.03729091,0.010197268,0.079354392,0.149761184,0.065388609,0.001054499,0.018714647,0.021483343,0.015342534,0.14
23,0.037298019,0.010226006,0.079226463,0.149509069,0.065323376,0.000576712,0.018749915,0.021570555,0.015174063,0.13
24,0.037284885,0.010195322,0.079219564,0.149769277,0.065269144,0.001235144,0.018738335,0.021886538,0.015181291,0.11
25,0.037312153,0.010286803,0.079024581,0.149746286,0.065394883,0.000785993,0.018728885,0.021639145,0.015189512,0.08
26,0.037411483,0.010197448,0.079214235,0.149480321,0.065365586,0.000792813,0.01872771,0.021653842,0.015291929,0.09
27,0.037293201,0.010162974,0.079550836,0.149740113,0.065194247,0.001070935,0.018746424,0.021659723,0.015231959,0.11
28,0.037347827,0.010190138,0.07919883,0.149723698,0.06546694,0.000682157,0.018733806,0.021572545,0.015190356,0.1
